Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
1972,1972,MFXM MFTP MT EXPORT,MFXM,SINK,Active,MFT Energy US Power LLC,MFTP,,,,,
1973,1973,MFXS MFTP SK EXPORT,MFXS,SINK,Active,MFT Energy US Power LLC,MFTP,,,,,
1976,1976,MGBC MAGE BC IMPORT,MGBC,SOURCE,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1979,1979,MGMT MAG MT IMPORT,MGMT,SOURCE,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1980,1980,MGSK MAG SK IMPORT,MGSK,SOURCE,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1981,1981,MGXB MAGE BC EXPORT,MGXB,SINK,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1982,1982,MGXM MAG MT EXPORT,MGXM,SINK,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1983,1983,MGXS MAG SK EXPORT,MGXS,SINK,Active,MAG Energy Solutions Inc.,MAGE,,,,,
1994,1994,MLBC MLCC BC IMPORT,MLBC,SOURCE,Retired,Merrill Lynch Commodities Canada,MLCC,,,,,
1999,1999,MLSK MLCC SASK IMPORT,MLSK,SOURCE,Retired,Merrill Lynch Commodities Canada,MLCC,,,,,
2000,2000,MLXB MLCC BC EXPORT,MLXB,SINK,Retired,Merrill Lynch Commodities Canada,MLCC,,,,,
2001,2001,MLXS MLCC SASK EXPORT,MLXS,SINK,Retired,Merrill Lynch Commodities Canada,MLCC,,,,,
2012,2012,MOBC MSCG IMPORT FROM BC,MOBC,SOURCE,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2015,2015,MOMT MT IMPORT,MOMT,SOURCE,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2018,2018,MOSK MSCG IMPORT FROM SASK,MOSK,SOURCE,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2019,2019,MOXB MSCG EXPORT TO BC,MOXB,SINK,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2020,2020,MOXM MT EXPORT,MOXM,SINK,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2021,2021,MOXS MSCG EXPORT TO SASK,MOXS,SINK,Active,Morgan Stanley Capital Group Inc.,MSCG,,,,,
2026,2026,MQBC MQEC BC IMPORT,MQBC,SOURCE,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
2027,2027,MQMT MQEC MT IMPORT,MQMT,SOURCE,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
2028,2028,MQSK MQEC SK IMPORT,MQSK,SOURCE,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
2029,2029,MQXB MQEC BC EXPORT,MQXB,SINK,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
2030,2030,MQXM MQEC MT EXPORT,MQXM,SINK,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
2031,2031,MQXS MQEC SK EXPORT,MQXS,SINK,Active,Macquarie Energy Canada Ltd.,MQEC,,,,,
